sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30
0.000555,0.0005024999999999999,0.0010825,0.0008849999999999999,0.00134,0.0019299999999999999,0.0002525,0.0004075,0.00031749999999999997,0.0003375,0.00013,0.0001975,0.00035,0.0001275,8.5e-05,0.0001475,-0.00027749999999999997,8.750000000000001e-05,0.00031999999999999997,0.0001225,7.000000000000001e-05,-0.00037749999999999996,-0.00010749999999999998,0.0003225,5.75e-05,-6.500000000000001e-05,8.250000000000001e-05,-0.00011750000000000001,-0.00048249999999999996,-5.5e-05
0.0005825,0.000485,0.001095,0.0008675,0.001175,0.0018,0.0003,0.00038500000000000003,0.00038500000000000003,0.0003275,0.0002125,0.00024500000000000005,0.0004375,0.0001675,0.0001225,0.0001225,-0.00020499999999999997,7.250000000000001e-05,0.0002525,9.75e-05,6.749999999999999e-05,-0.0004425,-0.00012500000000000003,0.0002875,0.000125,-1.2500000000000006e-05,9e-05,-4e-05,-0.00038750000000000004,-0.0001025
0.0006375,0.00045250000000000005,0.0009699999999999999,0.0008575,0.00101,0.0016350000000000002,0.00021,0.0002525,0.00029,0.0002325,0.0001925,0.00017,0.0005675000000000001,0.00019250000000000002,0.000155,0.000225,-6.500000000000001e-05,0.0001725,0.00021500000000000002,0.00011750000000000001,8.5e-05,-0.000415,-7.749999999999996e-05,0.00033999999999999997,0.00032,6.499999999999998e-05,0.0002525,0.0001925,-0.00011250000000000001,4.25e-05
0.0005,0.00023500000000000002,0.0006825,0.0007474999999999999,0.0009525,0.0014525000000000002,4.25e-05,8e-05,0.00015749999999999998,0.0001125,8.25e-05,6.75e-05,0.0005250000000000001,0.0001425,7.500000000000001e-05,0.00026,-3.000000000000001e-05,0.0002825,0.0002525,0.0001975,0.0002,-0.0002925,2.7500000000000018e-05,0.00043999999999999996,0.0003625,7.750000000000001e-05,0.0003875,0.00029,5.999999999999999e-05,0.00016
0.000285,2.75e-05,0.0004625,0.0005974999999999999,0.000985,0.0013525000000000002,0.000165,0.000105,0.0002275,0.00015749999999999998,0.00017,0.00021249999999999996,0.0003275,9.5e-05,2.5e-05,0.00018749999999999998,-6.250000000000001e-05,0.00030250000000000003,0.000305,0.00033,0.00040999999999999994,-0.0001775,0.00018999999999999998,0.0005725,0.000265,6e-05,0.00037,0.00019,3.7499999999999976e-05,0.00013250000000000002
0.00031,0.000135,0.0005549999999999999,0.0006000000000000001,0.0011099999999999999,0.0014075,0.0005025,0.00031999999999999997,0.0004275,0.00034500000000000004,0.00046,0.0005525,0.00017999999999999998,0.000115,8.750000000000001e-05,7.75e-05,-5.9999999999999995e-05,0.0002725,0.0003525,0.00045,0.0005275000000000001,-0.000145,0.0002825,0.0007125,0.0002675,1.7499999999999995e-05,0.0003175,7.999999999999999e-05,-2.9999999999999997e-05,5.75e-05
0.00047999999999999996,0.00039000000000000005,0.000835,0.0007425,0.001235,0.001515,0.000575,0.00038750000000000004,0.00039000000000000005,0.00038250000000000003,0.000515,0.00065,0.0002275,0.00019999999999999998,0.00025249999999999996,7.500000000000001e-05,7.750000000000001e-05,0.0003275,0.0004675,0.0006324999999999999,0.0006349999999999999,-4.250000000000001e-05,0.00035249999999999995,0.0009075,0.00033999999999999997,-7.499999999999998e-05,0.00031749999999999997,3e-05,-4.750000000000001e-05,2.4999999999999998e-05
0.0005425,0.0005525,0.0009875,0.0008675,0.0012725000000000002,0.0015574999999999999,0.00039249999999999995,0.00023749999999999997,9.25e-05,0.000245,0.00026250000000000004,0.0004649999999999999,0.0003625,0.000245,0.00035749999999999996,0.0001575,0.00027,0.0004125,0.0005899999999999999,0.0008575,0.0007875,0.00011750000000000004,0.00046,0.0010575,0.00037,-1.2500000000000006e-05,0.000385,1.7500000000000002e-05,2.5000000000000193e-06,8e-05
0.0005775,0.0006625,0.0009625,0.000925,0.0013125,0.0015975,0.00039,0.00025,2.5e-05,0.000295,0.000175,0.00042249999999999997,0.0005075,0.00022500000000000002,0.000375,0.00021999999999999998,0.00034,0.0004225,0.00062,0.0009325,0.0008675,0.000205,0.0005525,0.00105,0.000405,0.0002475,0.0004975,0.0001125,0.00010750000000000001,0.00023750000000000003
0.0007325,0.0007325,0.0008750000000000001,0.0009174999999999999,0.0013525,0.0015899999999999998,0.0005875,0.0004675,0.0002425,0.000545,0.00038250000000000003,0.000585,0.0007175,0.0002975,0.0004625,0.0003275,0.00034,0.0004275,0.0007175,0.0008975,0.0009175,0.00031499999999999996,0.0006275,0.001035,0.000425,0.00037,0.0005225,0.0002725,0.0001525,0.000355
0.000895,0.0007275000000000001,0.0008650000000000001,0.00092,0.0013675,0.001545,0.0006374999999999999,0.0005575,0.000355,0.0006425000000000001,0.0005625000000000001,0.0006850000000000001,0.0008849999999999999,0.0004075,0.000595,0.000475,0.00038500000000000003,0.0005175,0.0009525,0.0009499999999999999,0.001015,0.0004925,0.0006725,0.0011325,0.00036500000000000004,0.0002975,0.0005124999999999999,0.0004175,0.00015,0.000375
0.001,0.0007325000000000001,0.0009875,0.00102,0.0014624999999999998,0.0016325,0.00058,0.0005175,0.00035999999999999997,0.0005875,0.0006450000000000001,0.000735,0.0008075000000000001,0.000335,0.0005725000000000001,0.0004625,0.000345,0.0005974999999999999,0.0010175,0.001,0.0010624999999999999,0.000535,0.0006125,0.0011450000000000002,0.00034,0.00028,0.0006125,0.0005625,0.00023,0.00035499999999999996
0.0009975,0.0007374999999999999,0.00112,0.00114,0.0015899999999999998,0.0018375000000000002,0.000715,0.0006325,0.000495,0.0006425,0.00082,0.0008774999999999999,0.0006,0.0001225,0.000395,0.00033,0.00016999999999999999,0.0006075,0.0008675,0.0009499999999999999,0.001065,0.00048499999999999997,0.00053,0.00106,0.0004175,0.0004,0.0007625,0.0006899999999999999,0.0003675,0.0003125
0.0008100000000000001,0.0006425000000000001,0.0011175,0.001135,0.00158,0.0019674999999999996,0.0009224999999999999,0.0007949999999999999,0.0006175,0.000755,0.0009649999999999999,0.00099,0.0005375,7.25e-05,0.00034,0.000375,0.00017,0.000745,0.000885,0.0010425,0.0012475,0.0006425,0.00072,0.0012175,0.00043500000000000006,0.0004575,0.0007199999999999999,0.00061,0.0003725,0.0002275
0.000575,0.0005074999999999999,0.001005,0.0010475,0.0014225000000000002,0.0018575,0.0008900000000000001,0.0007125,0.0005425,0.0007475,0.0008775,0.0008925,0.000675,0.000285,0.00056,0.000625,0.00041999999999999996,0.001,0.0011025000000000002,0.001295,0.0014925000000000001,0.0008825,0.001055,0.00154,0.0003125,0.0003525,0.00047500000000000005,0.00035,0.000225,0.0001325
0.0005275000000000001,0.00047500000000000005,0.0009525,0.0009625,0.0012475,0.00155,0.00069,0.0004725,0.00037749999999999996,0.000665,0.0007000000000000001,0.0006475,0.0007899999999999999,0.00045,0.000735,0.00065,0.00052,0.0010125,0.00106,0.0012875,0.001335,0.0008075000000000001,0.001,0.0015025,0.00023999999999999998,0.0002925,0.00030000000000000003,0.00022999999999999998,0.00013250000000000002,0.000115
0.0005875,0.000525,0.00095,0.00089,0.0011300000000000001,0.00132,0.0006150000000000001,0.00041,0.000335,0.0006525000000000001,0.0006725,0.000575,0.0008,0.0004075,0.0006625,0.0003925,0.000375,0.0008325000000000001,0.000855,0.0010825,0.00096,0.0005974999999999999,0.0006975,0.0012,0.0003575,0.0003975,0.00034250000000000003,0.000285,0.00023,0.0001975
0.00054,0.00047000000000000004,0.0008225,0.0008550000000000001,0.00108,0.0013475,0.0007300000000000001,0.0006275,0.00045999999999999996,0.00077,0.000845,0.0008075000000000001,0.0007700000000000001,0.0003275,0.0005549999999999999,0.0002675,0.00035,0.000865,0.00096,0.0011375,0.0009625,0.0007,0.0007525,0.0012025,0.0005325,0.000495,0.00045,0.00033,0.000405,0.00029
0.00040249999999999997,0.00035749999999999996,0.00067,0.0009274999999999999,0.001145,0.001535,0.000855,0.00086,0.00059,0.0008849999999999999,0.0010400000000000001,0.00104,0.0006850000000000001,0.0002775,0.0005200000000000001,0.0003975,0.00047749999999999995,0.0010325,0.0011825,0.001385,0.0013024999999999998,0.0009975000000000001,0.0010574999999999998,0.001495,0.0006125,0.0004975,0.00049,0.0003125,0.0005425,0.00037
0.0003425,0.0004025,0.0007574999999999999,0.00114,0.001385,0.0017825,0.000905,0.00092,0.000655,0.0009474999999999999,0.0011725000000000001,0.001105,0.0005375,0.0001825,0.000515,0.0006175,0.0005875,0.0011425,0.0012850000000000001,0.001565,0.0016725,0.0012850000000000001,0.00132,0.0017975,0.0006225,0.000515,0.0005525,0.000305,0.00063,0.00051
0.0002875,0.000505,0.0008550000000000001,0.0012725,0.00147,0.0018349999999999998,0.0009875,0.0008799999999999999,0.0007650000000000001,0.0010624999999999999,0.0012575,0.0011725,0.00048750000000000003,0.00015000000000000001,0.0006325,0.0007374999999999999,0.00063,0.0011975,0.0013,0.00165,0.0019425000000000002,0.0014525,0.0015225,0.001965,0.00065,0.00059,0.0006399999999999999,0.0003525,0.0006375,0.0006925
0.000105,0.00038,0.0005775,0.00091,0.0009325000000000001,0.0012599999999999998,0.001015,0.0007825,0.0008424999999999999,0.0010600000000000002,0.001155,0.0011625,0.0007,0.0003025,0.0007975,0.0006225,0.000525,0.001065,0.000995,0.0014325,0.001735,0.0011625,0.0012975,0.0015875,0.0006875,0.0005924999999999999,0.0006299999999999999,0.00042,0.0005200000000000001,0.0006900000000000001
3.5e-05,0.00013000000000000002,0.00011750000000000001,0.0001875,0.00011999999999999999,0.0002875,0.000815,0.00061,0.000795,0.000775,0.00079,0.0008325,0.0010949999999999998,0.000565,0.0008049999999999999,0.0004075,0.000265,0.0007925,0.00037250000000000006,0.0009174999999999999,0.0009875,0.00041000000000000005,0.000495,0.0006575,0.00067,0.00046,0.0006025,0.0004625,0.0003325,0.0004575
0.0002975,9.250000000000001e-05,4.7499999999999996e-05,0.0,0.0,0.0,0.0006275,0.0005325,0.00082,0.0005499999999999999,0.0005924999999999999,0.000515,0.0012799999999999999,0.0007225,0.0006925000000000001,0.0002775,0.000105,0.0007075,0.0001325,0.0006850000000000001,0.0005725000000000001,0.0,0.0,0.00016749999999999998,0.000565,0.000335,0.0006774999999999999,0.0005200000000000001,0.0002225,0.00027
0.0006625,0.0002925,0.00042500000000000003,0.000575,0.000595,0.000665,0.00071,0.0006425000000000001,0.0009699999999999999,0.000665,0.0008049999999999999,0.0006050000000000001,0.0010625,0.0006375,0.000565,0.000185,8.75e-05,0.0007499999999999999,0.0003525,0.000915,0.0008500000000000001,0.00027,0.0002575,0.0005375,0.0003600000000000001,0.0002575,0.0006850000000000001,0.0005325,0.0002075,0.00023500000000000002
